F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
384,0,statement,data-flow,MedianOfSix_M6,RVR,67,,density_log,evaluated,MedianOfSix,4,FALSE,FALSE,8,FALSE,TRUE,12,FALSE,TRUE
1,205,condition,control-flow,TicketPrice_M1,BOR,3,,density_log,evaluated,TicketPrice,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,203,condition,control-flow,TicketPrice_M2,BOR,6,,density_log,evaluated,TicketPrice,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
0,206,condition,control-flow,TicketPrice_M3,ROR,16,no_tbfv_failures,density_log,not_detected,TicketPrice,,,,,,,,,
100,106,statement,data-flow,TicketPrice_M4,CR,13,,density_log,evaluated,TicketPrice,2,TRUE,TRUE,4,TRUE,TRUE,7,TRUE,TRUE
100,106,statement,data-flow,TicketPrice_M5,AOR,19,,density_log,evaluated,TicketPrice,2,FALSE,FALSE,5,TRUE,TRUE,7,TRUE,TRUE
100,106,statement,data-flow,TicketPrice_M6,AOR,25,,density_log,evaluated,TicketPrice,3,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
1,323,condition,control-flow,TaxBracket_M1,BOR,3,,density_log,evaluated,TaxBracket,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,323,condition,control-flow,TaxBracket_M2,BOR,6,,density_log,evaluated,TaxBracket,2,TRUE,TRUE,3,TRUE,TRUE,3,TRUE,TRUE
0,326,condition,control-flow,TaxBracket_M3,ROR,12,no_tbfv_failures,density_log,not_detected,TaxBracket,,,,,,,,,
160,166,statement,data-flow,TaxBracket_M4,AOR,15,,density_log,evaluated,TaxBracket,4,TRUE,TRUE,6,TRUE,TRUE,8,TRUE,TRUE
161,165,statement,data-flow,TaxBracket_M5,AOR,30,,density_log,evaluated,TaxBracket,2,TRUE,TRUE,4,TRUE,TRUE,6,TRUE,TRUE
159,167,statement,data-flow,TaxBracket_M6,RVR,32,,density_log,evaluated,TaxBracket,2,FALSE,FALSE,4,FALSE,FALSE,6,TRUE,FALSE
1,147,condition,control-flow,GradePolicy_M1,BOR,3,,density_log,evaluated,GradePolicy,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,140,condition,control-flow,GradePolicy_M2,BOR,6,,density_log,evaluated,GradePolicy,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
40,108,condition,control-flow,GradePolicy_M3,BOR,13,,density_log,evaluated,GradePolicy,3,TRUE,TRUE,5,TRUE,TRUE,8,TRUE,TRUE
40,108,statement,data-flow,GradePolicy_M4,AOR,14,,density_log,evaluated,GradePolicy,3,TRUE,TRUE,5,TRUE,TRUE,6,TRUE,TRUE
21,127,statement,data-flow,GradePolicy_M5,AOR,22,,density_log,evaluated,GradePolicy,2,TRUE,TRUE,4,TRUE,TRUE,6,TRUE,TRUE
103,45,statement,data-flow,GradePolicy_M6,RVR,27,,density_log,evaluated,GradePolicy,2,TRUE,TRUE,5,TRUE,TRUE,8,TRUE,TRUE
1,107,condition,control-flow,InventoryReorder_M1,BOR,3,,density_log,evaluated,InventoryReorder,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,100,condition,control-flow,InventoryReorder_M2,BOR,6,,density_log,evaluated,InventoryReorder,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
29,80,condition,control-flow,InventoryReorder_M3,BOR,13,,density_log,evaluated,InventoryReorder,3,TRUE,TRUE,4,TRUE,TRUE,7,TRUE,TRUE
