cct_hit,cct_lines,cct_strategy,cct_top_r,dataset_id,experiment_id,fault_category,fault_kind,inspection_budget_lines,mutant_id,operator,primary_line,sfl_budget_hit,sfl_budget_lines,sfl_strategy,subject
True,"[20, 21, 22, 36, 37, 38]",aggregated.interval.edge_divergence_gated,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,6,BubbleSortFive_M5,SUR,37,True,"[20, 21, 22, 36, 37, 38]",sfl.ochiai,BubbleSort
True,"[20, 21, 22, 36, 37, 38, 57]",aggregated.interval.edge_divergence_gated,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,7,BubbleSortFive_M5,SUR,37,True,"[4, 20, 21, 22, 36, 37, 38]",sfl.ochiai,BubbleSort
True,"[36, 37, 38]",aggregated.interval.statement_presence,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,BubbleSortFive_M5,SUR,37,True,"[36, 37, 38]",sfl.ochiai,BubbleSort
True,"[20, 21, 22, 36, 37, 38]",aggregated.interval.statement_presence,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,6,BubbleSortFive_M5,SUR,37,True,"[20, 21, 22, 36, 37, 38]",sfl.ochiai,BubbleSort
True,"[20, 21, 22, 36, 37, 38, 57]",aggregated.interval.statement_presence,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,7,BubbleSortFive_M5,SUR,37,True,"[4, 20, 21, 22, 36, 37, 38]",sfl.ochiai,BubbleSort
True,"[4, 53, 54, 55, 57]",aggregated.composite.condition_or_interval,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,5,BubbleSortFive_M6,SUR,54,True,"[47, 48, 53, 54, 55]",sfl.ochiai,BubbleSort
True,"[4, 9, 20, 21, 22, 53, 54, 55, 57]",aggregated.composite.condition_or_interval,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,9,BubbleSortFive_M6,SUR,54,True,"[36, 37, 38, 47, 48, 49, 53, 54, 55]",sfl.ochiai,BubbleSort
True,"[4, 9, 20, 21, 22, 25, 47, 48, 49, 53, 54, 55, 57]",aggregated.composite.condition_or_interval,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,13,BubbleSortFive_M6,SUR,54,True,"[4, 20, 21, 22, 36, 37, 38, 47, 48, 49, 53, 54, 55]",sfl.ochiai,BubbleSort
False,[4],aggregated.condition_node,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,1,BubbleSortFive_M6,SUR,54,False,[53],sfl.ochiai,BubbleSort
False,"[4, 9]",aggregated.condition_node,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,2,BubbleSortFive_M6,SUR,54,True,"[53, 54]",sfl.ochiai,BubbleSort
False,"[4, 9, 25]",aggregated.condition_node,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,BubbleSortFive_M6,SUR,54,True,"[53, 54, 55]",sfl.ochiai,BubbleSort
True,"[53, 54, 55, 57]",aggregated.interval.edge_divergence_gated,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,4,BubbleSortFive_M6,SUR,54,True,"[47, 53, 54, 55]",sfl.ochiai,BubbleSort
True,"[20, 21, 22, 53, 54, 55, 57]",aggregated.interval.edge_divergence_gated,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,7,BubbleSortFive_M6,SUR,54,True,"[36, 47, 48, 49, 53, 54, 55]",sfl.ochiai,BubbleSort
True,"[20, 21, 22, 47, 48, 49, 53, 54, 55, 57]",aggregated.interval.edge_divergence_gated,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,10,BubbleSortFive_M6,SUR,54,True,"[20, 36, 37, 38, 47, 48, 49, 53, 54, 55]",sfl.ochiai,BubbleSort
